Vehículo;Etiqueta;Matrícula;Tipo Vehículo;Tipo Servicio;Nivel Emisión ;Marca;Accesible;Operador;Modelo;Zona;Concesión;Calificación ;(Columna M agregada con propósitos meramente pedagógicos)
10540;D0540;WGH652;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,96;
10541;D0541;WGH688;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,47;
10542;D0542;WGH709;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,21;
10543;D0543;WEW574;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,58;
10544;D0544;WGH653;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,58;
10545;D0545;WGH657;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,57;
10546;D0546;WGH658;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,98;
10547;D0547;WEW576;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,34;
10548;D0548;WGH659;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,79;
10549;D0549;WGH665;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,74;
10550;D0550;WGH677;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,44;
10551;D0551;WGH676;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,93;
10552;D0552;WEW575;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,02;
10553;D0553;WGH674;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,64;
10554;D0554;WGH685;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,80;
10555;D0555;WGH719;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,29;
10556;D0556;WGH697;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,65;
10557;D0557;WEW588;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,59;
10558;D0558;WEW577;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,03;
10559;D0559;WEW534;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,36;
10560;D0560;WGH667;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,15;
